BuildingType,PrimaryPropertyType,Neighborhood,NumberofBuildings,NumberofFloors,PropertyGFATotal,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,BuildingAge_rescaled,GFABuildingNormalised,GFAParkingNormalised,GFAPerBuilding,GFAPerFloor,Electricity_ratio,Natural_gas_ratio,SteamUse_ratio
NonResidential,University,EAST,1.0,3.0,63330.0,,3059758.0,74.33,95,1.0,0.0,63330.0,21110.0,0.62458,0.37542,0.0
Campus,University,DELRIDGE,27.0,2.0,441071.0,,38301744.0,866.23,40,1.0,0.0,16335.963,220535.5,0.66092,0.33908,0.0
NonResidential,Small- and Mid-Sized Office,NORTHEAST,1.0,2.0,96300.0,,16319835.0,222.02,5,1.0,0.0,96300.0,48150.0,0.85624,0.14376,0.0
Nonresidential COS,Other,GREATER DUWAMISH,1.0,1.0,67356.0,,7475577.5,204.08,60,1.0,0.0,67356.0,67356.0,0.55942,0.44058,0.0
NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,1.0,54765.0,,4253369.5,61.21,50,1.0,0.0,54765.0,54765.0,0.83918,0.16082,0.0
NonResidential,Other,GREATER DUWAMISH,1.0,5.0,89821.0,,1950092.5,100.46,0,1.0,0.0,89821.0,17964.2,0.03459,0.96541,0.0
NonResidential,University,MAGNOLIA / QUEEN ANNE,1.0,2.0,52611.0,,4116871.5,104.26,30,1.0,0.0,52611.0,26305.5,0.60222,0.39778,0.0
NonResidential,Residence Hall,MAGNOLIA / QUEEN ANNE,1.0,4.0,139600.0,89.0,4448582.5,129.39,10,0.73138,0.26862,139600.0,34900.0,0.52068,0.47932,0.0
SPS-District K-12,K-12 School,NORTH,1.0,2.0,236758.0,96.0,8355988.5,222.78,0,1.0,0.0,236758.0,118379.0,0.57324,0.42676,0.0
NonResidential,Other,CENTRAL,3.0,6.0,250981.0,,13071700.0,422.39,40,1.0,0.0,83660.333,41830.167,0.62387,0.04438,0.33175
NonResidential,Other,DOWNTOWN,1.0,11.0,299070.0,,65336980.0,2055.82,5,0.77118,0.22882,299070.0,27188.182,0.46913,0.53087,0.0
NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,3.0,64015.0,21.0,3242077.75,49.58,0,1.0,0.0,64015.0,21338.333,0.81965,0.18035,0.0
NonResidential,Retail Store,NORTH,1.0,1.0,530039.0,98.0,27717034.0,723.47,60,1.0,0.0,530039.0,530039.0,0.58536,0.41464,0.0
NonResidential,Other,NORTH,1.0,3.0,54224.0,,7265178.0,231.53,45,1.0,0.0,54224.0,18074.667,0.46039,0.53961,0.0
NonResidential,Retail Store,NORTH,1.0,4.0,124342.0,76.0,8765978.0,66.3,45,1.0,0.0,124342.0,31085.5,0.98718,0.01282,0.0
NonResidential,Hospital,NORTHEAST,6.0,10.0,879000.0,10.0,253832464.0,8145.52,55,1.0,0.0,146500.0,87900.0,0.45558,0.54442,0.0
NonResidential,Other,NORTHWEST,1.0,3.0,55442.0,72.0,3191228.25,83.7,15,1.0,0.0,55442.0,18480.667,0.58264,0.41736,0.0
NonResidential,Self-Storage Facility,EAST,1.0,5.0,84870.0,,1381590.125,51.11,100,1.0,0.0,84870.0,16974.0,0.34933,0.65067,0.0
Campus,University,NORTHWEST,11.0,2.0,694072.0,,35891484.0,362.82,40,0.83917,0.16083,63097.455,347036.0,0.932,0.068,0.0
NonResidential,Warehouse,GREATER DUWAMISH,1.0,4.0,114297.0,61.0,2100097.75,69.44,105,1.0,0.0,114297.0,28574.25,0.43449,0.56551,0.0
NonResidential,Warehouse,GREATER DUWAMISH,1.0,1.0,234144.0,87.0,6744317.0,297.43,70,1.0,0.0,234144.0,234144.0,0.19525,0.80475,0.0
NonResidential,Retail Store,DELRIDGE,1.0,1.0,64984.0,72.0,2944296.25,35.78,45,1.0,0.0,64984.0,64984.0,0.88771,0.11229,0.0
NonResidential,Retail Store,DELRIDGE,1.0,1.0,67745.0,37.0,9230223.0,369.14,45,1.0,0.0,67745.0,67745.0,0.28429,0.71571,0.0
SPS-District K-12,K-12 School,DELRIDGE,1.0,2.0,367884.0,97.0,12265516.0,272.85,0,1.0,0.0,367884.0,183942.0,0.66895,0.33105,0.0
NonResidential,Other,BALLARD,1.0,3.0,56000.0,,1851260.5,59.34,35,1.0,0.0,56000.0,18666.667,0.45637,0.54363,0.0
NonResidential,Self-Storage Facility,SOUTHWEST,1.0,2.0,52088.0,,1377519.5,48.99,40,1.0,0.0,52088.0,26044.0,0.38022,0.61978,0.0
NonResidential,Hotel,LAKE UNION,1.0,5.0,123920.0,79.0,9373179.0,309.6,10,0.75791,0.24209,123920.0,24784.0,0.4352,0.5648,0.0
Nonresidential COS,Other,LAKE UNION,1.0,1.0,50000.0,,7548807.0,225.69,110,1.0,0.0,50000.0,50000.0,0.50312,0.49688,0.0
Nonresidential COS,Warehouse,MAGNOLIA / QUEEN ANNE,1.0,2.0,50292.0,,430473.6875,3.0,85,1.0,0.0,50292.0,25146.0,1.0,0.0,0.0
NonResidential,Hotel,MAGNOLIA / QUEEN ANNE,1.0,7.0,207656.0,76.0,11171988.0,338.16,10,0.73831,0.26169,207656.0,29665.143,0.49506,0.50494,0.0
Nonresidential COS,Small- and Mid-Sized Office,NORTHWEST,1.0,2.0,91130.0,,9472358.0,175.77,50,1.0,0.0,91130.0,45565.0,0.74891,0.25109,0.0
NonResidential,Hotel,NORTHWEST,1.0,4.0,64893.0,70.0,6197825.0,208.26,40,1.0,0.0,64893.0,16223.25,0.42282,0.57718,0.0
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1.0,3.0,44558.0,78.0,1677002.25,28.27,110,1.0,0.0,44558.0,14852.667,0.78571,0.21429,0.0
